"","SubjectNo","ExpNo","DisplayMode","Familiarity","seg.z","headingErr"
"139","L_S136","Lit","NoGoggles","Unfamiliar",2.59,4.52492547152622
"140","L_S136","Lit","NoGoggles","Unfamiliar",2.645,4.26138540883769
"141","L_S136","Lit","NoGoggles","Unfamiliar",2.7,4.07765312046948
"142","L_S136","Lit","NoGoggles","Unfamiliar",2.755,3.9377341525871
"143","L_S136","Lit","NoGoggles","Unfamiliar",2.81,3.83047620755577
"144","L_S136","Lit","NoGoggles","Unfamiliar",2.865,3.73908542896934
"145","L_S136","Lit","NoGoggles","Unfamiliar",2.92,3.64133175043013
"146","L_S136","Lit","NoGoggles","Unfamiliar",2.975,3.56185282057967
"147","L_S136","Lit","NoGoggles","Unfamiliar",3.03,3.47571489981023
"148","L_S136","Lit","NoGoggles","Unfamiliar",3.085,3.38011316453979
"149","L_S136","Lit","NoGoggles","Unfamiliar",3.14,3.29864427851352
"150","L_S136","Lit","NoGoggles","Unfamiliar",3.195,3.1830189430137
"151","L_S136","Lit","NoGoggles","Unfamiliar",3.25,3.05806901392119
"152","L_S136","Lit","NoGoggles","Unfamiliar",3.305,2.94465010722372
"153","L_S136","Lit","NoGoggles","Unfamiliar",3.36,2.81985546435893
"154","L_S136","Lit","NoGoggles","Unfamiliar",3.415,2.68679837613898
"155","L_S136","Lit","NoGoggles","Unfamiliar",3.47,2.55123406606048
"156","L_S136","Lit","NoGoggles","Unfamiliar",3.525,2.41192125549712
"157","L_S136","Lit","NoGoggles","Unfamiliar",3.58,2.27026443314142
"158","L_S136","Lit","NoGoggles","Unfamiliar",3.635,2.1276530880939
"159","L_S136","Lit","NoGoggles","Unfamiliar",3.69,1.99139472100768
"160","L_S136","Lit","NoGoggles","Unfamiliar",3.745,1.856484496228
"161","L_S136","Lit","NoGoggles","Unfamiliar",3.8,1.71366228889729
"162","L_S136","Lit","NoGoggles","Unfamiliar",3.855,1.57599988931379
"163","L_S136","Lit","NoGoggles","Unfamiliar",3.91,1.44490975933379
"164","L_S136","Lit","NoGoggles","Unfamiliar",3.965,1.31115307632281
"165","L_S136","Lit","NoGoggles","Unfamiliar",4.02,1.17852840120485
"166","L_S136","Lit","NoGoggles","Unfamiliar",4.075,1.04688552728123
"167","L_S136","Lit","NoGoggles","Unfamiliar",4.13,0.915164638597632
"168","L_S136","Lit","NoGoggles","Unfamiliar",4.185,0.783263291163079
"169","L_S136","Lit","NoGoggles","Unfamiliar",4.24,0.650198327587038
"170","L_S136","Lit","NoGoggles","Unfamiliar",4.295,0.5080701364579
"171","L_S136","Lit","NoGoggles","Unfamiliar",4.35,0.373608805115087
"172","L_S136","Lit","NoGoggles","Unfamiliar",4.405,0.235732833523952
