"","SubjectNo","DisplayMode","Familiarity","seg.z","headingErr"
"292","D_S10","Intermittent","Familiar",5.505,6.87491878669035
"293","D_S10","Intermittent","Familiar",5.56,6.84365788525428
"294","D_S10","Intermittent","Familiar",5.615,6.87148118681421
"295","D_S10","Intermittent","Familiar",5.67,6.96888857307001
"296","D_S10","Intermittent","Familiar",5.725,7.15041071855031
"297","D_S10","Intermittent","Familiar",5.78,7.44384749695246
"298","D_S10","Intermittent","Familiar",5.835,7.85252888437674
"299","D_S10","Intermittent","Familiar",5.89,8.37049995944714
"300","D_S10","Intermittent","Familiar",5.945,8.96582179621544
"301","D_S12","Intermittent","Familiar",0.5,5.35740313962706
"302","D_S12","Intermittent","Familiar",0.555,5.05735003047933
"303","D_S12","Intermittent","Familiar",0.61,4.84708190823462
"304","D_S12","Intermittent","Familiar",0.665,4.70840622371175
"305","D_S12","Intermittent","Familiar",0.72,4.6088933988499
"306","D_S12","Intermittent","Familiar",0.775,4.53481621109436
"307","D_S12","Intermittent","Familiar",0.83,4.48184364268139
"308","D_S12","Intermittent","Familiar",0.885,4.41270554593801
"309","D_S12","Intermittent","Familiar",0.94,4.30618619696498
"310","D_S12","Intermittent","Familiar",0.995,4.20631635610013
"311","D_S12","Intermittent","Familiar",1.05,4.14868582629158
"312","D_S12","Intermittent","Familiar",1.105,4.12812475751819
"313","D_S12","Intermittent","Familiar",1.16,4.12562422545642
"314","D_S12","Intermittent","Familiar",1.215,4.12882098442344
"315","D_S12","Intermittent","Familiar",1.27,4.13141253796849
"316","D_S12","Intermittent","Familiar",1.325,4.12666989110699
"317","D_S12","Intermittent","Familiar",1.38,4.11707824634757
"318","D_S12","Intermittent","Familiar",1.435,4.11088820023339
"319","D_S12","Intermittent","Familiar",1.49,4.12306404831608
"320","D_S12","Intermittent","Familiar",1.545,4.17566841573132
"321","D_S12","Intermittent","Familiar",1.6,4.26129516476748
"322","D_S12","Intermittent","Familiar",1.655,4.36694120114535
"323","D_S12","Intermittent","Familiar",1.71,4.48096053914477
"324","D_S12","Intermittent","Familiar",1.765,4.57573401043393
"325","D_S12","Intermittent","Familiar",1.82,4.63125631862754
"326","D_S12","Intermittent","Familiar",1.875,4.64641265930015
"327","D_S12","Intermittent","Familiar",1.93,4.6305050311285
"328","D_S12","Intermittent","Familiar",1.985,4.59393232887051
"329","D_S12","Intermittent","Familiar",2.04,4.55381206130056
"330","D_S12","Intermittent","Familiar",2.095,4.5259390736644
"331","D_S12","Intermittent","Familiar",2.15,4.53205909066994
"332","D_S12","Intermittent","Familiar",2.205,4.58465115941877
"333","D_S12","Intermittent","Familiar",2.26,4.68230479936674
"334","D_S12","Intermittent","Familiar",2.315,4.80086315838676
"335","D_S12","Intermittent","Familiar",2.37,4.91311012751628
"336","D_S12","Intermittent","Familiar",2.425,4.99603401553377
"337","D_S12","Intermittent","Familiar",2.48,5.02463922636914
"338","D_S12","Intermittent","Familiar",2.535,4.9914475240479
"339","D_S12","Intermittent","Familiar",2.59,4.90182575532159
"340","D_S12","Intermittent","Familiar",2.645,4.76176372624266
"341","D_S12","Intermittent","Familiar",2.7,4.59505054656706
"342","D_S12","Intermittent","Familiar",2.755,4.43743566983864
"343","D_S12","Intermittent","Familiar",2.81,4.30938185652489
"344","D_S12","Intermittent","Familiar",2.865,4.21595622838572
"345","D_S12","Intermittent","Familiar",2.92,4.14081558279819
"346","D_S12","Intermittent","Familiar",2.975,4.05934433513775
"347","D_S12","Intermittent","Familiar",3.03,3.94994728910576
"348","D_S12","Intermittent","Familiar",3.085,3.8096691317598
"349","D_S12","Intermittent","Familiar",3.14,3.64860070952768
"350","D_S12","Intermittent","Familiar",3.195,3.46798893412584
"351","D_S12","Intermittent","Familiar",3.25,3.28211471919405
"352","D_S12","Intermittent","Familiar",3.305,3.10296663177284
"353","D_S12","Intermittent","Familiar",3.36,2.93416008705361
"354","D_S12","Intermittent","Familiar",3.415,2.79531839947719
"355","D_S12","Intermittent","Familiar",3.47,2.70051001214061
"356","D_S12","Intermittent","Familiar",3.525,2.63685160304694
"357","D_S12","Intermittent","Familiar",3.58,2.58206519442588
"358","D_S12","Intermittent","Familiar",3.635,2.51743815493581
"359","D_S12","Intermittent","Familiar",3.69,2.44029613306532
"360","D_S12","Intermittent","Familiar",3.745,2.35870031742257
"361","D_S12","Intermittent","Familiar",3.8,2.28091822354321
"362","D_S12","Intermittent","Familiar",3.855,2.21331399498422
"363","D_S12","Intermittent","Familiar",3.91,2.14795447819523
"364","D_S12","Intermittent","Familiar",3.965,2.07760623171362
"365","D_S12","Intermittent","Familiar",4.02,2.00812056542435
"366","D_S12","Intermittent","Familiar",4.075,1.94765310952159
"367","D_S12","Intermittent","Familiar",4.13,1.90344723220589
"368","D_S12","Intermittent","Familiar",4.185,1.88127647775244
"369","D_S12","Intermittent","Familiar",4.24,1.89134312769515
"370","D_S12","Intermittent","Familiar",4.295,1.94404551494935
"371","D_S12","Intermittent","Familiar",4.35,2.03110278618114
"372","D_S12","Intermittent","Familiar",4.405,2.13977684096997
"373","D_S12","Intermittent","Familiar",4.46,2.25937642333187
"374","D_S12","Intermittent","Familiar",4.515,2.38378809056196
"375","D_S12","Intermittent","Familiar",4.57,2.51850952171638
"376","D_S12","Intermittent","Familiar",4.625,2.64348707672872
"377","D_S12","Intermittent","Familiar",4.68,2.75641271277425
"378","D_S12","Intermittent","Familiar",4.735,2.86410958981224
"379","D_S12","Intermittent","Familiar",4.79,2.97771661277217
"380","D_S12","Intermittent","Familiar",4.845,3.12077254162616
"381","D_S12","Intermittent","Familiar",4.9,3.30406791484406
"382","D_S12","Intermittent","Familiar",4.955,3.53813953301587
"383","D_S12","Intermittent","Familiar",5.01,3.82327285597803
